,name,username,license,tags,freesound_id,path
0,"Drumloop 96BPM - En marcha, pero suavesito.wav",Bronxio,http://creativecommons.org/publicdomain/zero/1.0/,"['drumloop', 'drum', 'loop', 'jungle', 'rap', 'hiphop', 'beat', '96bpm', '96', 'bpm', 'funky', 'new', 'school', 'background', 'hammerhead', 'funny']",111158,files/111158_997039-hq.ogg
1,sword03.wav,Erdie,https://creativecommons.org/licenses/by/4.0/,"['environmental-sounds-research', 'sword', 'metal', 'weapon', 'game', 'fantasy', 'fight', 'beat']",27857,files/27857_118241-hq.ogg
2,breathehope - paper - 05.wav,smallsushi,http://creativecommons.org/licenses/sampling+/1.0/,"['field-recording', 'paper', 'percussion', 'beats']",2292,files/2292_3095-hq.ogg
3,Funky House Loop.wav,hello_flowers,http://creativecommons.org/publicdomain/zero/1.0/,"['house', 'loop', 'weird', 'big-beat']",31422,files/31422_199517-hq.ogg
